OrderDate,Region,Product,SalesAmount,Quantity,CustomerID
01/15/2024,Central,USB Hub,978.53,49,CUST-0064
05/18/2024,South,USB Hub,3818.09,49,CUST-0054
02/20/2024,North,Headset,624.8,35,CUST-0018
10/25/2024,East,Laptop,3308.24,37,CUST-0007
04/05/2024,North,Keyboard,677.45,8,CUST-0009
15.03.2024,East,Mouse,2112.1,32,CUST-0070
01/15/2024,South ,Mouse,181.35,42,CUST-0070
12/01/2024,South,Laptop,1725.81,50,CUST-0060
06/22/2024,Central,USB Hub,4602.86,7,CUST-0032
02/20/2024,South,Keyboard,2432.72,4,CUST-0022
02/20/2024,South,USB Hub,4655.84,26,CUST-0065
08/14/2024,Central,RAM Module,3788.49,47,CUST-0065
08/14/2024,South,Monitor,4720.85,13,CUST-0006
12/01/2024,South,Mouse,451.88,36,CUST-0010
11/11/2024,East,Laptop,942.3,50,CUST-0063
03/10/2024,South,Monitor,4313.68,4,CUST-0070
07/30/2024,South,Webcam,3619.59,11,CUST-0064
07/30/2024,East,Keyboard,4153.35,44,CUST-0068
05/18/2024,West,Headset,3458.64,27,CUST-0062
02/20/2024,South,SSD Drive,557.86,19,CUST-0040
07/30/2024,West,SSD Drive,2788.47,44,CUST-0015
11/11/2024,South,Webcam,3891.2,3,CUST-0041
00/15/2024,Central,RAM Module,4997.88,18,CUST-0074
06/22/2024,South,SSD Drive,3424.91,12,CUST-0011
09/03/2024,Central,Mouse,3558.49,-2,CUST-0026
07/30/2024,South,Mouse,4882.22,,CUST-0004
05/18/2024,North,RAM Module,351.74,4,CUST-0075
08/14/2024,East,Webcam,2739.98,21,CUST-0025
05/18/2024,South,RAM Module,3752.23,11,CUST-0040
08/14/2024,Central,RAM Module,4856.32,29,CUST-0009
11/11/2024,North,Keyboard,999999,24,CUST-0047
12/01/2024,East,Mouse,1793.99,40,CUST-0033
02/20/2024,Central,USB Hub,1576.68,39,CUST-0008
10/25/2024,North,USB Hub,2879.7,39,CUST-0061
01/15/2024,South,Mouse,557.35,35,CUST-0012
03/10/2024,west,Keyboard,2372.1,6,CUST-0003
07/30/2024,North,USB Hub,1532.36,,CUST-0008
14/01/2024,East,Laptop,384.42,43,CUST-0014
07/30/2024,West,Laptop,3022.03,37,CUST-0065
04/05/2024,North,RAM Module,674.79,37,CUST-0028
09/03/2024,North,Headset,4195.51,43,CUST-0063
02/20/2024,East,RAM Module,4247.68,20,CUST-0065
03/10/2024,South,Webcam,2618.54,6,CUST-0033
09/03/2024,East,Monitor,832.88,-6,CUST-0065
02/20/2024,West,Monitor,1277.2,19,CUST-0050
02/20/2024,CENTRAL,RAM Module,412.64,17,CUST-0017
10/25/2024,East,Headset,3507.48,39,CUST-0011
04/05/2024,North,Laptop,3007.72,44,CUST-0061
09/03/2024,East,SSD Drive,806.55,35,CUST-0068
07/30/2024,Central,Laptop,1606.86,50,CUST-0052
12/01/2024,North,RAM Module,2693.99,30,CUST-0049
09/03/2024,South,Mouse,735.07,42,CUST-0062
02/20/2024,East,Headset,4177.04,40,CUST-0068
10/25/2024,North,Mouse,3834.0,40,CUST-0029
11/11/2024,South,USB Hub,674.92,22,CUST-0013
07/30/2024,Central,USB Hub,1195.81,45,CUST-0059
09/03/2024,East,SSD Drive,806.55,35,CUST-0068
07/30/2024,East,USB Hub,2284.86,5,CUST-0044
11/11/2024,South,USB Hub,999999,6,CUST-0056
10/25/2024,East,SSD Drive,1962.43,36,CUST-0036
03/10/2024,Central,SSD Drive,3892.05,8,CUST-0007
06/22/2024,North,USB Hub,4729.81,43,CUST-0067
02/20/2024,South ,SSD Drive,,36,CUST-0019
05/18/2024,Central,Mouse,3614.37,49,CUST-0031
03/10/2024,South,Docking Station,4347.65,34,CUST-0020
09/03/2024,South,USB Hub,3771.3,18,CUST-0067
07/30/2024,Central,Laptop,3839.69,1,CUST-0046
02/20/2024,West,Headset,4265.25,39,CUST-0020
07/30/2024,Central,Headset,4602.11,30,CUST-0056
10/25/2024,East,Laptop,1125.48,16,CUST-0047
07/30/2024,West,Headset,1146.78,5,CUST-0066
08/14/2024,South,Monitor,2183.7,30,CUST-0007
01/15/2024,East,Monitor,904.17,29,CUST-0057
03/10/2024,North,Laptop,806.56,44,CUST-0055
01/15/2024,West,Monitor,2033.5,41,CUST-0007
02/20/2024,West,Headset,4265.25,39,CUST-0020
10/25/2024,South,Headset,2783.64,8,CUST-0060
01/15/2024,West,Headset,831.98,23,CUST-0076
07/30/2024,North,RAM Module,4837.0,50,CUST-0075
06/22/2024,CENTRAL,SSD Drive,4942.24,25,CUST-0061
not_a_date,North,Keyboard,4454.08,10,CUST-0035
03/10/2024,East,Monitor,2721.87,34,CUST-0005
09/03/2024,West,SSD Drive,3529.13,17,CUST-0030
03/10/2024,Central,Keyboard,3084.69,40,CUST-0039
11/11/2024,West,Headset,1403.45,31,CUST-0032
12/01/2024,West,Webcam,3647.73,40,CUST-0056
09/03/2024,West,Monitor,4452.64,39,CUST-0033
12/01/2024,South,SSD Drive,999999,36,CUST-0043
07/30/2024,East,Mouse,178.27,34,CUST-0050
13/25/2024,South,USB Hub,110.71,31,CUST-0057
08/14/2024,South,Webcam,2873.58,50,CUST-0037
09/03/2024,west,RAM Module,184.16,9,CUST-0060
07/30/2024,West,Headset,4950.65,40,CUST-0008
11/11/2024,East,RAM Module,999999,20,CUST-0060
04/05/2024,Central,Keyboard,3706.09,38,CUST-0068
05/18/2024,Central,Monitor,2851.37,35,CUST-0055
04/05/2024,Central,USB Hub,999999,8,CUST-0059
04/05/2024,South,Docking Station,2294.82,7,CUST-0041
09/03/2024,North,Monitor,4998.0,34,CUST-0053
06/22/2024, East ,Keyboard,1806.38,18,CUST-0077
03/10/2024,,SSD Drive,725.72,50,CUST-0054
09/03/2024,East,Webcam,4103.8,16,CUST-0014
01/15/2024,Central,Keyboard,2218.67,8,CUST-0004
08/14/2024,East,RAM Module,2051.89,19,CUST-0015
03/10/2024,Central,Headset,594.14,9,CUST-0002
05/18/2024,North,Headset,2177.95,42,CUST-0042
06/22/2024,East,Webcam,4310.85,9,CUST-0048
05/18/2024,West,Monitor,4269.09,25,CUST-0041
07/30/2024,East,Keyboard,4153.35,44,CUST-0068
10/25/2024,West,SSD Drive,540.93,42,CUST-0071
07/30/2024,South,USB Hub,1868.37,18,CUST-0011
not_a_date,Central,USB Hub,948.37,41,CUST-0063
01/15/2024,East,Monitor,4887.97,39,CUST-0065
07/30/2024,South,Monitor,1687.86,4,CUST-0027
05/18/2024,West,USB Hub,2100.21,33,CUST-0015
01/15/2024,North,Webcam,1285.17,50,CUST-0072
10/25/2024,North,USB Hub,4891.02,9,CUST-0017
11/11/2024,North,USB Hub,2160.05,46,CUST-0057
09/03/2024,Central,Monitor,3827.43,33,CUST-0019
09/03/2024,Central,RAM Module,2805.86,43,CUST-0035
10/25/2024,Central,Webcam,2839.91,2,CUST-0011
04/05/2024,North,Headset,1712.45,6,CUST-0018
02/20/2024,East,USB Hub,3078.79,32,CUST-0026
12/01/2024,South,Monitor,3249.39,29,CUST-0005
08/14/2024,South,Mouse,,22,CUST-0036
05/18/2024,East,USB Hub,1510.95,8,CUST-0060
03/10/2024,Central,RAM Module,2223.81,20,CUST-0052
06/22/2024,Central,Docking Station,3646.67,42,CUST-0013
05/18/2024,Central,Webcam,3537.63,15,CUST-0038
12/01/2024,West,Mouse,3453.73,50,CUST-0014
04/05/2024,East,Mouse,697.85,30,CUST-0041
04/05/2024,South,USB Hub,,24,CUST-0060
10/25/2024,East,Headset,3883.6,4,CUST-0043
02/20/2024,Central,Webcam,2521.19,42,CUST-0059
01/15/2024,Central,Docking Station,3589.32,45,CUST-0032
10/25/2024,South ,USB Hub,1891.47,37,CUST-0018
06/22/2024,West,Mouse,3947.5,3,CUST-0061
08/14/2024,North,RAM Module,999999,19,CUST-0030
09/03/2024,Central,USB Hub,1533.96,24,CUST-0043
07/30/2024,East,Mouse,,46,CUST-0043
09/03/2024,East,RAM Module,2537.74,38,CUST-0020
11/11/2024,West,Monitor,4530.48,2,CUST-0066
02/30/2024,South,Headset,643.92,28,CUST-0023
07/30/2024,East,SSD Drive,2131.21,44,CUST-0023
